/music/lemon.MP3
# 這是關卡2的音樂檔案路址

# 這是 level2.txt 檔案的內容
# 格式: spawn_trigger_x,width,height,y_position,type
# 遊戲世界每秒前進600像素

1000.0,50.0,50.0,500.0,regular
1070.0,60.0,60.0,470.0,regular
1140.0,60.0,60.0,70.0,regular
1200.0,50.0,50.0,300.0,regular
1270.0,50.0,50.0,40.0,regular
1350.0,60.0,60.0,440.0,regular
1420.0,50.0,50.0,90.0,regular
1480.0,50.0,50.0,480.0,regular
1550.0,60.0,60.0,70.0,regular
1610.0,50.0,50.0,250.0,regular
1680.0,50.0,50.0,300.0,regular
1750.0,50.0,50.0,350.0,regular
1820.0,50.0,50.0,400.0,regular
1890.0,50.0,50.0,450.0,regular
1960.0,60.0,60.0,0.0,regular
1990.0,60.0,60.0,40.0,regular
2020.0,60.0,60.0,80.0,regular
2090.0,50.0,50.0,110.0,regular
2150.0,50.0,50.0,420.0,regular
2220.0,50.0,50.0,140.0,regular
2290.0,60.0,60.0,400.0,regular
2360.0,60.0,60.0,160.0,regular
2430.0,60.0,60.0,370.0,regular
2500.0,50.0,50.0,180.0,regular
2570.0,60.0,60.0,340.0,regular
2640.0,50.0,50.0,200.0,regular
2710.0,60.0,60.0,310.0,regular
2780.0,50.0,50.0,220.0,regular
2850.0,50.0,50.0,280.0,regular
2920.0,60.0,60.0,420.0,regular
2990.0,60.0,60.0,100.0,regular
3060.0,60.0,60.0,480.0,regular
3130.0,50.0,50.0,70.0,regular
3200.0,50.0,50.0,470.0,regular
3270.0,60.0,60.0,90.0,regular
3340.0,60.0,60.0,460.0,regular
3410.0,50.0,50.0,60.0,regular
3480.0,50.0,50.0,430.0,regular
3550.0,50.0,50.0,120.0,regular
3620.0,60.0,60.0,410.0,regular
3690.0,60.0,60.0,130.0,regular
3760.0,60.0,60.0,390.0,regular
3830.0,50.0,50.0,150.0,regular
3900.0,60.0,60.0,370.0,regular
3970.0,50.0,50.0,170.0,regular
4040.0,50.0,50.0,350.0,regular
4110.0,60.0,60.0,200.0,regular
4180.0,60.0,60.0,330.0,regular
4250.0,50.0,50.0,250.0,regular
4320.0,50.0,50.0,310.0,regular
4390.0,60.0,60.0,270.0,regular
4460.0,60.0,60.0,290.0,regular
4530.0,50.0,50.0,310.0,regular
4600.0,50.0,50.0,330.0,regular
4670.0,60.0,60.0,360.0,regular
4740.0,60.0,60.0,380.0,regular
4810.0,50.0,50.0,400.0,regular
4880.0,60.0,60.0,420.0,regular
4950.0,60.0,60.0,440.0,regular
5020.0,50.0,50.0,460.0,regular
5090.0,50.0,50.0,480.0,regular
5160.0,60.0,60.0,500.0,regular
5230.0,60.0,60.0,80.0,regular
5300.0,60.0,60.0,60.0,regular
5370.0,60.0,60.0,40.0,regular
5440.0,60.0,60.0,20.0,regular
5510.0,60.0,60.0,0.0,regular
5580.0,50.0,50.0,480.0,regular
5650.0,50.0,50.0,450.0,regular
5720.0,60.0,60.0,420.0,regular
5790.0,60.0,60.0,390.0,regular
5860.0,50.0,50.0,360.0,regular
5930.0,50.0,50.0,330.0,regular
6000.0,60.0,60.0,300.0,regular
6000.0,60.0,60.0,300.0,regular
6070.0,50.0,50.0,80.0,regular
6140.0,60.0,60.0,450.0,regular
6210.0,50.0,50.0,40.0,regular
6280.0,50.0,50.0,90.0,regular
6350.0,60.0,60.0,480.0,regular
6420.0,50.0,50.0,120.0,regular
6490.0,60.0,60.0,440.0,regular
6560.0,50.0,50.0,150.0,regular
6630.0,60.0,60.0,410.0,regular
6700.0,50.0,50.0,180.0,regular
6770.0,50.0,50.0,390.0,regular
6840.0,60.0,60.0,210.0,regular
6910.0,50.0,50.0,360.0,regular
6980.0,60.0,60.0,240.0,regular
7050.0,60.0,60.0,330.0,regular
7120.0,50.0,50.0,270.0,regular
7190.0,60.0,60.0,300.0,regular
7260.0,60.0,60.0,400.0,regular
7330.0,50.0,50.0,350.0,regular
7400.0,60.0,60.0,100.0,regular
7470.0,50.0,50.0,460.0,regular
7540.0,60.0,60.0,70.0,regular
7610.0,50.0,50.0,420.0,regular
7680.0,60.0,60.0,40.0,regular
7750.0,60.0,60.0,380.0,regular
7820.0,60.0,60.0,20.0,regular
7890.0,50.0,50.0,340.0,regular
7960.0,60.0,60.0,0.0,regular
8030.0,60.0,60.0,300.0,regular
8100.0,50.0,50.0,250.0,regular
8170.0,60.0,60.0,310.0,regular
8240.0,50.0,50.0,280.0,regular
8310.0,50.0,50.0,330.0,regular
8380.0,60.0,60.0,260.0,regular
8450.0,60.0,60.0,360.0,regular
8520.0,50.0,50.0,290.0,regular
8590.0,60.0,60.0,390.0,regular
8660.0,50.0,50.0,320.0,regular
8730.0,60.0,60.0,420.0,regular
8800.0,60.0,60.0,350.0,regular
8870.0,60.0,60.0,450.0,regular
8940.0,60.0,60.0,380.0,regular
9010.0,60.0,60.0,470.0,regular
9080.0,60.0,60.0,410.0,regular
9150.0,60.0,60.0,490.0,regular
9220.0,50.0,50.0,440.0,regular
9290.0,50.0,50.0,500.0,regular
9360.0,60.0,60.0,460.0,regular
9430.0,60.0,60.0,520.0,regular
9500.0,50.0,50.0,20.0,regular
9570.0,60.0,60.0,60.0,regular
9640.0,60.0,60.0,90.0,regular
9710.0,50.0,50.0,130.0,regular
9780.0,50.0,50.0,170.0,regular
9850.0,60.0,60.0,200.0,regular
9920.0,60.0,60.0,240.0,regular
9990.0,60.0,60.0,280.0,regular
10060.0,50.0,50.0,320.0,regular
10130.0,50.0,50.0,360.0,regular
10200.0,60.0,60.0,400.0,regular
10270.0,50.0,50.0,440.0,regular
10340.0,50.0,50.0,480.0,regular
10410.0,60.0,60.0,0.0,regular
10480.0,60.0,60.0,50.0,regular
10550.0,50.0,50.0,90.0,regular
10620.0,60.0,60.0,130.0,regular
10690.0,60.0,60.0,170.0,regular
10760.0,60.0,60.0,210.0,regular
10830.0,60.0,60.0,250.0,regular
10900.0,50.0,50.0,300.0,regular
10970.0,50.0,50.0,340.0,regular
11040.0,60.0,60.0,380.0,regular
11110.0,60.0,60.0,420.0,regular
11180.0,60.0,60.0,460.0,regular
11250.0,60.0,60.0,500.0,regular
11320.0,60.0,60.0,520.0,regular
11390.0,50.0,50.0,480.0,regular
11460.0,50.0,50.0,440.0,regular
11530.0,60.0,60.0,400.0,regular
11600.0,60.0,60.0,360.0,regular
11670.0,60.0,60.0,320.0,regular
11740.0,60.0,60.0,280.0,regular
11810.0,50.0,50.0,240.0,regular
11880.0,50.0,50.0,200.0,regular
11950.0,60.0,60.0,160.0,regular
12020.0,60.0,60.0,120.0,regular
12090.0,60.0,60.0,80.0,regular
12160.0,60.0,60.0,40.0,regular
12230.0,50.0,50.0,0.0,regular
12300.0,50.0,50.0,420.0,regular
12370.0,60.0,60.0,380.0,regular
12440.0,60.0,60.0,340.0,regular
12510.0,50.0,50.0,300.0,regular
12580.0,50.0,50.0,260.0,regular
12650.0,60.0,60.0,220.0,regular
12720.0,60.0,60.0,180.0,regular
12790.0,60.0,60.0,140.0,regular
12860.0,60.0,60.0,100.0,regular
12930.0,60.0,60.0,60.0,regular
13000.0,60.0,60.0,20.0,regular
13070.0,60.0,60.0,480.0,regular
13140.0,60.0,60.0,450.0,regular
13210.0,60.0,60.0,420.0,regular
13280.0,50.0,50.0,390.0,regular
13350.0,60.0,60.0,360.0,regular
13420.0,60.0,60.0,330.0,regular
13490.0,50.0,50.0,300.0,regular
13560.0,60.0,60.0,270.0,regular
13630.0,60.0,60.0,240.0,regular
13700.0,60.0,60.0,210.0,regular
13770.0,60.0,60.0,180.0,regular
13840.0,60.0,60.0,150.0,regular
13910.0,60.0,60.0,120.0,regular
13980.0,60.0,60.0,90.0,regular
